http://dx.doi.org/10.13039/501100000231,"Newfoundland and Labrador Arts Council"
http://dx.doi.org/10.13039/100011514,"Campbell Family Institute for Breast Cancer Research"
http://dx.doi.org/10.13039/501100000195,"Canada Council for the Arts"
http://dx.doi.org/10.13039/100003960,"George Cedric Metcalf Charitable Foundation"
http://dx.doi.org/10.13039/100012992,"École de technologie supérieure"
http://dx.doi.org/10.13039/501100000261,"Multiple Sclerosis Society of Canada"
http://dx.doi.org/10.13039/100012532,"Environmental Studies Research Funds"
http://dx.doi.org/10.13039/501100002782,"Calgary Institute for the Humanities, University of Calgary"
http://dx.doi.org/10.13039/100012270,"Animal Welfare Foundation of Canada"
http://dx.doi.org/10.13039/100014105,"FedDev Ontario"
http://dx.doi.org/10.13039/100010700,"Registered Nurses' Association of Ontario"
http://dx.doi.org/10.13039/100007858,"Department of Natural Resources, Government of Newfoundland and Labrador"
http://dx.doi.org/10.13039/100012453,"Providence Health Care"
http://dx.doi.org/10.13039/501100000189,"Nasivvik Centre for Inuit Health and Changing Environments"
http://dx.doi.org/10.13039/501100010778,"Centre de recherche du CHU Sainte-Justine"
http://dx.doi.org/10.13039/501100012651,"Fondation Institut de Cardiologie de Montréal"
http://dx.doi.org/10.13039/100009007,"Health Research Foundation"
http://dx.doi.org/10.13039/100013188,"Réseau de recherche portant sur les interventions en sciences infirmières du Québec"
http://dx.doi.org/10.13039/100009154,"University of Windsor"
http://dx.doi.org/10.13039/100012980,"King's University College"
http://dx.doi.org/10.13039/501100001805,"Canada Foundation for Innovation"
http://dx.doi.org/10.13039/100013794,"Co-operative Education and Work-Integrated Learning Canada"
http://dx.doi.org/10.13039/100012260,"Calgary Foundation"
http://dx.doi.org/10.13039/501100004261,"Research and Development Corporation of Newfoundland and Labrador"
http://dx.doi.org/10.13039/100012278,"London Community Foundation"
http://dx.doi.org/10.13039/501100008411,"Waterloo Institute for Nanotechnology, University of Waterloo"
http://dx.doi.org/10.13039/100012511,"QEII Foundation"
http://dx.doi.org/10.13039/100012190,"Alberta Beef Producers"
http://dx.doi.org/10.13039/501100000007,"Canadian Aeronautics and Space Institute"
http://dx.doi.org/10.13039/100013799,"Canadian Academy of Audiology"
http://dx.doi.org/10.13039/501100003479,"HealthForceOntario"
http://dx.doi.org/10.13039/100008313,"Canarie"
http://dx.doi.org/10.13039/100011342,"College of Nursing, University of Saskatchewan"
http://dx.doi.org/10.13039/100011787,"Bow Valley College"
http://dx.doi.org/10.13039/501100006043,"Canadian Centre for Clean Coal/Carbon and Mineral Processing Technologies"
http://dx.doi.org/10.13039/501100005262,"Ministry of Advanced Education and Technology"
http://dx.doi.org/10.13039/100014406,"Faculty of Arts and Social Sciences, Carleton University"
http://dx.doi.org/10.13039/501100000077,"Centre for Research on Intermediality, University of Montreal"
http://dx.doi.org/10.13039/501100003525,"Healthy Minds Canada"
http://dx.doi.org/10.13039/100009874,"Université de Sherbrooke"
http://dx.doi.org/10.13039/501100004227,"Petroleum Technology Research Centre"
http://dx.doi.org/10.13039/100011157,"Cures for Kids"
http://dx.doi.org/10.13039/501100000063,"British Columbia Innovation Council"
http://dx.doi.org/10.13039/100013796,"Canadian Urological Association Scholarship Fund"
http://dx.doi.org/10.13039/501100002343,"Institut de Recherche Robert-Sauvé en Santé et en Sécurité du Travail"
http://dx.doi.org/10.13039/501100008627,"Global Affairs Canada"
http://dx.doi.org/10.13039/501100009111,"PolicyWise for Children and Families"
http://dx.doi.org/10.13039/501100007658,"Crohn's and Colitis Canada"
http://dx.doi.org/10.13039/100013762,"Aurora Research Institute"
http://dx.doi.org/10.13039/100009025,"Westco Fertilizers"
http://dx.doi.org/10.13039/100008604,"Canadian Nuclear Safety Commission"
http://dx.doi.org/10.13039/501100005616,"Memorial University of Newfoundland"
http://dx.doi.org/10.13039/100013499,"Canadian Academic Accounting Association"
http://dx.doi.org/10.13039/100008164,"Advanced Foods and Materials Canada"
http://dx.doi.org/10.13039/100008572,"University of Ottawa"
http://dx.doi.org/10.13039/100009663,"University Health Network"
http://dx.doi.org/10.13039/501100000072,"Canadian Association of University Teachers"
http://dx.doi.org/10.13039/100008797,"Canada Millennium Scholarship Foundation"
http://dx.doi.org/10.13039/100010503,"Canadian International Development Agency"
http://dx.doi.org/10.13039/100013873,"Government of Ontario"
http://dx.doi.org/10.13039/501100010630,"Faculty of Medicine, Memorial University of Newfoundland"
http://dx.doi.org/10.13039/501100000026,"Institute of Aging"
http://dx.doi.org/10.13039/100012448,"Champlain Local Health Integration Network"
http://dx.doi.org/10.13039/100014611,"Manitoba Hydro"
http://dx.doi.org/10.13039/100014416,"Canadian Automobile Association"
http://dx.doi.org/10.13039/100009288,"Canadian Bureau for International Education"
http://dx.doi.org/10.13039/501100012394,"Canadian Forest Service"
http://dx.doi.org/10.13039/501100002746,"BC Hydro"
http://dx.doi.org/10.13039/100007611,"Amorfix Life Sciences"
http://dx.doi.org/10.13039/100013585,"Agriculture Funding Consortium"
http://dx.doi.org/10.13039/501100004381,"Western University"
http://dx.doi.org/10.13039/100009013,"Lafarge Canada"
http://dx.doi.org/10.13039/100011452,"Canadian Foundation for Pharmacy"
http://dx.doi.org/10.13039/100009427,"Acadia University"
http://dx.doi.org/10.13039/100014613,"Public Safety Canada"
http://dx.doi.org/10.13039/501100009307,"Parkinson Canada"
http://dx.doi.org/10.13039/100009003,"Hotchkiss Brain Institute, University of Calgary"
http://dx.doi.org/10.13039/501100000040,"Agriculture and Agri-Food Canada"
http://dx.doi.org/10.13039/501100004888,"Centre Hospitalier Universitaire de Québec"
http://dx.doi.org/10.13039/501100012395,"Canadian Immunization Research Network"
http://dx.doi.org/10.13039/100012179,"Alberta Barley"
http://dx.doi.org/10.13039/100011788,"Burman University"
http://dx.doi.org/10.13039/501100000036,"Institute of Population and Public Health"
http://dx.doi.org/10.13039/501100006557,"Centre Technologique des Résidus Industriels"
http://dx.doi.org/10.13039/501100006677,"Alberta Innovates Bio Solutions"
http://dx.doi.org/10.13039/100012444,"Telfer School of Management, University of Ottawa"
http://dx.doi.org/10.13039/100011762,"Alberta Biodiversity Monitoring Institute"
http://dx.doi.org/10.13039/100009325,"Canadian Health Services Research Foundation"
http://dx.doi.org/10.13039/100012970,"Canadian Mennonite University"
http://dx.doi.org/10.13039/501100000070,"Canadian Political Science Association"
http://dx.doi.org/10.13039/501100000048,"Canada Economic Development for Quebec Regions"
http://dx.doi.org/10.13039/100008777,"Ministère de l'Agriculture, des Pêcheries et de l'Alimentation"
http://dx.doi.org/10.13039/100005203,"Renal Pathology Society"
http://dx.doi.org/10.13039/100012167,"Canadian Council of Cardiovascular Nurses"
